"","position","pop.1"
"1",48,0.105263157894737
"2",52,0.280701754385965
"3",70,0.526315789473684
"4",71,0.456140350877193
"5",123,0.350877192982456
"6",126,0.350877192982456
"7",207,0.105263157894737
"8",211,0.105263157894737
"9",242,0.280701754385965
"10",247,0.105263157894737
"11",273,0.350877192982456
"12",321,0.526315789473684
"13",407,0.105263157894737
"14",433,0.105263157894737
"15",520,0.350877192982456
"16",533,0.105263157894737
"17",567,0.350877192982456
"18",585,0.280701754385965
"19",610,0.280701754385965
"20",631,0.350877192982456
"21",649,0.105263157894737
"22",1128,0.456140350877193
"23",1205,0.456140350877193
"24",1225,0.280701754385965
"25",1310,0.409356725146199
"26",1315,0.409356725146199
"27",1342,0.409356725146199
"28",1345,0.409356725146199
"29",1380,0.350877192982456
"30",1382,0.409356725146199
"31",1393,0.409356725146199
"32",1422,0.350877192982456
